Timestamp,What is your major?,What is your GPA?,How often do you exercise on average?,How often do you shower on average?,How often do you brush your teeth on average?,How long do you spend on skincare on average?,"On a scale of 1-6, how much energy do you have on average?",How many hours of sleep do you get on average?
10/28/2023 12:14:09,Management Information Systems,4,4,4,5,2,3,5
10/28/2023 12:14:11,Computer Science,3,4,1,5,2,2,3
10/28/2023 12:14:14,"Arts, Technology and Emerging Communications",3,1,1,4,1,2,2
10/28/2023 12:17:05,Computer Engineering,4,4,5,4,0,3,1
10/28/2023 12:17:15,Environmental science,3,3,3,4,1,3,4
10/28/2023 12:17:51,Public health,3,1,4,4,1,2,2
10/28/2023 12:19:00,Mechanical Engineering,2,3,4,5,1,3,3
10/28/2023 12:20:17,Computer Science,2,2,4,4,0,4,4
10/28/2023 12:20:48,Computer Science,4,4,3,5,2,3,5
10/28/2023 12:25:08,Computer Science,3,2,3,4,0,4,4
10/28/2023 12:26:08,Management Information Systems,4,5,4,5,2,5,5
10/28/2023 12:29:46,Computer Science,4,3,4,5,0,3,4
10/28/2023 12:30:32,Biomedical engineer/Biotech,4,1,3,5,4,0,2
10/28/2023 12:31:24,Computer Science,4,4,4,5,1,3,4
10/28/2023 12:32:03,Computer Science,3,3,3,5,0,2,3
10/28/2023 12:32:28,Computer Engineering,4,0,3,5,0,3,3
10/28/2023 12:33:34,Electrical Engineering,3,5,5,5,0,1,2
10/28/2023 12:34:58,Computer Science,3,4,4,5,3,3,3
10/28/2023 12:37:26,Computer Science,4,4,4,4,1,1,3
10/28/2023 12:37:30,Computer Science,3,4,4,4,2,2,3
10/28/2023 12:37:52,Computer Science,4,2,4,4,2,2,4
10/28/2023 12:38:43,Computer Science,4,0,4,5,1,3,4
10/28/2023 12:38:48,Computer Engineering,4,0,4,4,0,1,5
10/28/2023 12:39:11,Computer Science,4,0,4,5,2,3,4
10/28/2023 12:40:57,Computer Engineering,3,5,4,5,3,4,4
10/28/2023 12:41:47,Biomedical engineer/Biotech,4,4,4,5,3,2,3
10/28/2023 12:43:28,Computer Science,3,1,2,5,1,2,3
10/28/2023 12:44:32,Computer Science,3,3,4,4,1,3,4
10/28/2023 12:44:46,Computer Science,4,4,5,5,1,4,4
10/28/2023 12:47:19,Education,3,3,4,5,1,0,2
10/28/2023 12:47:26,Computer Science,4,3,4,4,3,2,4
10/28/2023 12:51:21,Computer Engineering,2,1,2,5,0,1,3
10/28/2023 12:51:28,Management Information Systems,4,4,4,5,2,3,4
10/28/2023 12:52:23,Architecture,3,4,4,4,1,3,3
10/28/2023 12:52:44,Technology Management/ITSV,3,1,5,5,2,3,2
10/28/2023 12:55:06,Forensic Science,4,3,4,5,1,3,4
10/28/2023 12:59:52,ITS,3,4,4,5,2,2,4
10/28/2023 13:03:58,Computer Engineering,4,4,4,5,1,4,4
10/28/2023 13:04:51,Management Information Systems,3,2,3,4,3,2,3
10/28/2023 13:05:43,Computer Science,3,4,4,5,1,2,3
10/28/2023 13:06:12,Mathematics,3,3,3,5,1,2,1
10/28/2023 13:06:38,Mathematics,4,0,,5,1,3,4
10/28/2023 13:09:35,Computer Science,4,3,4,5,1,4,4
10/28/2023 13:15:40,"Arts, Humanity, and Technology",4,1,4,5,1,1,3
10/28/2023 13:18:35,Computer Science,3,0,2,2,0,1,5
10/28/2023 13:19:10,Computer Science,4,5,5,5,5,5,5
10/28/2023 13:19:10,Computer Science,4,0,1,3,0,2,2
10/28/2023 13:19:35,Computer Science,4,1,3,5,2,0,3
10/28/2023 13:19:38,Computer Engineering,0,5,2,4,2,5,5
10/28/2023 13:20:08,Computer Engineering,2,0,0,0,0,0,0
10/28/2023 13:21:01,Computer Engineering,2,3,4,5,3,2,3
10/28/2023 13:22:54,Computer Engineering,0,0,0,0,0,0,0
10/28/2023 13:25:30,Computer Engineering,3,5,4,5,1,3,5
10/28/2023 13:41:02,Computer Science,4,4,4,5,1,3,5
10/28/2023 13:43:56,Marketing,1,3,4,4,1,4,3
10/28/2023 13:44:10,Computer Science,4,5,5,5,1,3,2
10/28/2023 13:44:21,Business Management & Marketing,3,1,3,5,1,2,4
10/28/2023 13:44:42,Graphic Design ,3,0,1,1,1,0,2
10/28/2023 13:44:49,Pharmacy ,3,4,5,5,1,1,1
10/28/2023 13:49:19,Idk,4,4,4,5,1,3,4
10/28/2023 13:50:24,Biomedical engineer/Biotech,4,4,4,5,3,1,3
10/28/2023 13:51:04,Computing,4,0,0,0,5,0,0
10/28/2023 13:51:33,Statistics,,2,4,4,1,3,4
10/28/2023 13:51:59,General engineering,,2,4,5,1,3,1
10/28/2023 13:52:05,Public health ,2,3,5,4,2,4,0
10/28/2023 13:52:23,Chemical Engineering,,4,2,5,0,5,4
10/28/2023 13:52:40,Computer Science,3,3,4,5,1,1,3
10/28/2023 13:52:52,Computer Engineering,4,3,4,5,2,2,4
10/28/2023 13:53:22,Computer Science,4,5,4,5,2,1,3
10/28/2023 13:53:47,Computer Engineering,3,4,4,5,1,4,4
10/28/2023 13:53:55,General engineering,3,4,5,5,2,3,3
10/28/2023 13:54:15,Computer Science,4,0,4,5,0,3,3
10/28/2023 13:54:24,Computer Science,3,2,4,5,1,1,1
10/28/2023 13:54:45,Computer Science,4,3,4,4,1,4,4
10/28/2023 13:54:46,Computer Science,4,1,4,5,1,1,3
10/28/2023 13:54:47,Computer Science,4,4,4,5,1,3,4
10/28/2023 13:54:53,Computer Science,4,5,5,5,4,,0
10/28/2023 13:55:01,Computer Science,4,3,4,5,0,3,4
10/28/2023 13:55:25,Electrical Engineering,4,4,3,4,1,2,3
10/28/2023 13:55:30,Electrical Engineering,3,4,4,5,1,2,2
10/28/2023 13:55:31,Electrical Engineering,1,4,5,5,2,3,4
10/28/2023 13:56:05,mechanical engineering,4,4,4,4,1,1,3
10/28/2023 13:56:06,Mechanical Engineering,4,4,5,5,2,3,1
10/28/2023 14:00:50,Computer Science,4,4,5,5,0,5,4
10/28/2023 14:02:08,Management Information Systems,4,2,4,4,1,0,2
10/28/2023 14:02:19,Computer Engineering,4,3,4,5,1,0,4
10/28/2023 14:02:26,Computer Science,4,2,4,5,1,1,5
10/28/2023 14:02:37,Aerospace,4,3,4,4,1,3,3
10/28/2023 14:02:42,Statistics,3,3,4,5,1,3,2
10/28/2023 14:02:49,Engineering,4,4,4,5,1,3,2
10/28/2023 14:02:55,Statistics,4,1,5,3,1,4,3
10/28/2023 14:03:17,Computer Science,4,5,3,5,2,3,4
10/28/2023 14:03:40,Mechanical Engineering,3,4,4,4,1,3,2
10/28/2023 14:03:51,Computer Engineering,,3,2,3,3,3,3
10/28/2023 14:03:57,Statistics,4,3,3,5,1,3,3
10/28/2023 14:04:14,Computer Science,4,4,5,5,1,3,3
10/28/2023 14:04:33,Biomedical engineer/Biotech,3,4,4,5,1,3,3
10/28/2023 14:04:40,Computer Science,2,2,1,3,3,0,3
10/28/2023 14:04:44,,4,4,3,5,1,3,3
10/28/2023 14:04:55,General Engineering,4,3,5,3,0,3,5
10/28/2023 14:06:03,Mechanical Engineering,4,4,4,4,0,4,3
10/28/2023 14:06:18,General Engineering,3,2,3,5,2,4,2
10/28/2023 14:06:31,Computer Science,4,4,4,5,3,3,4
10/28/2023 14:06:53,Computer Science,4,4,4,5,1,2,3
10/28/2023 14:08:21,General engineering ,4,0,5,5,1,1,3
10/28/2023 14:08:37,General Engineering (Frehsman),4,0,3,5,2,2,5
10/28/2023 14:08:46,General engineering,4,3,4,4,3,3,2
10/28/2023 14:08:48,Computer Science,4,4,4,5,1,4,2
10/28/2023 14:08:51,Electrical Engineering,3,2,4,5,2,0,3
10/28/2023 14:08:52,Computer Science,4,4,3,5,0,2,4
10/28/2023 14:09:30,Electrical Engineering,4,4,,5,2,3,3
10/28/2023 14:09:48,GIST,2,0,5,5,4,0,2
10/28/2023 14:09:57,Computer Science,4,3,3,5,1,3,4
10/28/2023 14:10:19,Computer Science,4,0,4,4,3,1,4
10/28/2023 14:10:46,Computer Science,4,4,4,4,1,3,3
10/28/2023 14:10:48,Arch,2,2,3,4,2,3,1
10/28/2023 14:11:27,gen engr,4,0,4,5,1,1,2
10/28/2023 14:11:31,Computer Science,4,2,1,4,0,2,5
10/28/2023 14:11:41,Computer Science,4,0,1,4,0,3,4
10/28/2023 14:11:55,Data Engineering,4,3,2,5,3,2,2
10/28/2023 14:13:19,Electrical Engineering,4,3,4,5,1,4,3
10/28/2023 14:13:26,Statistics,4,0,4,5,2,0,5
10/28/2023 14:13:44,Computer Science,4,3,4,4,1,2,3
10/28/2023 14:14:37,Management Information Systems,4,1,4,4,1,3,4
10/28/2023 14:14:52,Management Information Systems,4,3,4,5,1,2,3
10/28/2023 14:15:13,Management Information Systems,4,3,4,4,1,1,3
10/28/2023 14:15:19,Computer Science,4,1,4,4,1,2,4
10/28/2023 14:15:22,Computer Science,4,3,4,5,1,3,3
10/28/2023 14:15:23,Statistics,4,0,5,5,2,2,3
10/28/2023 14:15:23,Data Engineering,4,3,5,5,2,2,3
10/28/2023 14:15:47,Computer Science,4,4,4,5,1,2,4
10/28/2023 14:15:51,Computer Science,3,5,4,5,2,4,4
10/28/2023 14:15:58,Computer Science,4,2,4,5,1,3,4
10/28/2023 14:16:06,Computer Science,4,5,5,5,1,4,4
10/28/2023 14:16:07,Electrical Engineering,,4,4,4,1,0,1
10/28/2023 14:16:18,Computer Science,4,5,5,4,1,5,4
10/28/2023 14:16:20,Computer Science,2,0,4,4,0,4,4
10/28/2023 14:16:26,Computer Engineering,4,5,4,5,1,3,3
10/28/2023 14:16:36,,4,2,4,5,0,2,3
10/28/2023 14:17:06,Mechanical Engineering,4,4,4,5,0,5,5
10/28/2023 14:17:22,Computer Science,4,4,4,4,1,0,4
10/28/2023 14:18:04,Economics,4,2,4,4,1,1,3
10/28/2023 14:18:06,Computer Science,4,3,4,5,2,1,2
10/28/2023 14:18:25,General ,4,4,5,5,2,3,5
10/28/2023 14:18:36,General Engineering,4,4,4,4,1,3,2
10/28/2023 14:18:48,Computer Science,4,2,5,5,1,4,3
10/28/2023 14:18:58,Mechanical engineer,4,5,5,5,3,4,1
10/28/2023 14:19:15,Petroleum engineering ,4,5,4,5,1,4,3
10/28/2023 14:19:25,Computer Engineering,4,,4,5,0,3,4
10/28/2023 14:19:26,General Engineering,,0,4,4,1,1,3
10/28/2023 14:19:51,Computer Science,4,5,4,5,1,3,4
10/28/2023 14:19:57,Mechanical Engineering ,4,4,4,4,1,2,2
10/28/2023 14:19:57,Computer Science,4,4,3,5,1,0,3
10/28/2023 14:21:07,Biomedical sciences ,4,2,4,5,2,1,3
10/28/2023 14:22:04,Computer Engineering,4,3,4,5,1,1,2
10/28/2023 14:37:59,Computer Science,4,0,0,0,0,0,0
10/28/2023 14:40:54,,4,2,4,5,0,2,2
10/28/2023 14:40:55,Media,4,3,4,5,1,2,3
10/28/2023 14:51:00,Computer Science,3,4,4,4,1,5,1
10/28/2023 14:53:37,Computer Science,4,3,4,5,1,2,2
10/28/2023 15:14:57,Strategic communications,2,2,3,5,2,2,3
10/28/2023 15:27:17,Computer Science,3,4,5,5,4,3,3
10/28/2023 15:33:30,Finance,4,2,4,5,1,2,1
10/28/2023 15:45:31,Finance,3,1,4,4,0,1,4
10/28/2023 15:56:17,Computer Science,4,4,4,5,1,3,3